Age_Requirement,Residence_Requirement,Marital_Status ,Gender,Daily_Spend_SM,Most_Used_SM,Frequency_FFA,Strategy,Type_TA,Type_IR,Type_CR,Type_LTO,Influence,State_Trust
Yes,Yes,Single,Male,1 - 3 hours,WhatsApp,Daily,Targeted Ads,Video Ads,,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Combo Box Offers,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Customer Reviews,,,Positive Comments,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,Facebook,Weekly,Influencer Recommendation,,Content Creators,,,Neutral,Disagree
Yes,Yes,Single,Female,4 - 6 hours,TikTok,Daily,Influencer Recommendation,,Content Creators,,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,Facebook,Occasionally,Customer Reviews,,,Positive Comments,,Neutral,Disagree
Yes,Yes,Single,Female,More than 6 hours,Instagram,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Facebook,Daily,Influencer Recommendation,,Food Bloggers,,,Neutral,Neutral
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Daily,Limited-Time Offers or Promotions,,,,Free Delivery,Neutral,Agree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Daily,Other,,,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Daily,Other,,,,,Disagree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Weekly,Customer Reviews,,,Ratings,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,Facebook,Daily,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Occasionally,Influencer Recommendation,,Food Bloggers,,,Neutral,Neutral
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Occasionally,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Instagram,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Targeted Ads,Video Ads,,,,Agree,Neutral
Yes,Yes,Married,Female,4 - 6 hours,TikTok,Weekly,Influencer Recommendation,,Celebrities,,,Agree,Agree
Yes,Yes,Married,Male,1 - 3 hours,Instagram,Occasionally,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Male,Less than 1 hour,YouTube,Occasionally,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Married,Female,Less than 1 hour,TikTok,Daily,Other,,,,,Agree,Neutral
Yes,Yes,Married,Female,Less than 1 hour,Other,Occasionally,Customer Reviews,,,Ratings,,Agree,Neutral
Yes,Yes,Single,Male,1 - 3 hours,YouTube,Occasionally,Customer Reviews,,,Positive Comments,,Neutral,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Other,,,,,Neutral,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Other,,,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Other,,,,,Agree,Neutral
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Occasionally,Influencer Recommendation,,Content Creators,,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,Facebook,Daily,Targeted Ads,Video Ads,,,,Disagree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Occasionally,Influencer Recommendation,,Food Bloggers,,,Neutral,Neutral
Yes,Yes,Single,Male,4 - 6 hours,YouTube,Weekly,Other,,,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,YouTube,Occasionally,Targeted Ads,Flyers & Banners,,,,Neutral,Disagree
